source_channel,video_title,comment_text,target,stance,sentiment,tone,topic,interpretation_problem,reason
turcescu111,Harpalete- Sângerete și transfuzia din lumea lui,"Totul pleacă de la lipsa de educație a noastră. Atunci când vezi peste tot lehamite, ajungi să crezi că așa trebuie să fie. Când peste tot se ocupă posturi doar cu pile și șpagă...",sistem,neutru,negativ,frustrat,educatie,none,
turcescu111,Psihiatria salvează România!,"Concubina locuiește ilegal la Cotroceni, uitați-vă bine la Iran ca Mucifer ne va baga an război civil antre frații scârbă este răzbunătoare",guvern,neutru,negativ,conspirativ,coruptie,ambiguitate,
otvdirect,Profesor român executat în Franța! Șoc total,Prostanacu ' ăsta din Franta stie el că Germania Franta Spania ltalia ar veni in Romania daca ar fi atacata . Toti astia o maninca pe Romania de toate bunurile . Ce a construit SUA Deveselu Kogalniceanu si altele sunt ale SUA . ...nato nu erau si europenii . ?,ue,pro_suveranist,negativ,agresiv,ue,none,
georgesimionoficial,"Romania are un președinte, numele lui este CALIN GEORGESCU",DUMNEZEU SA ADUCA IZBAVIRE SI DREPTATE. VOTEZ CU MARE DRAG CALIN GEOGESCU PRESEDINTE ❤❤❤❤,suveranisti,pro_suveranist,pozitiv,patriotic,leadership_politic,none,
RecorderRomania,Reportaj Recorder în noaptea alegerilor: Un președinte peste mai multe Românii,"Mi-e mila de oamenii care ai fost mintiti de Realitatea TV,sper ca statul sa vada de ce oamenii acestia au fost dezinformati!",guvern,neutru,negativ,emotional,propaganda,none,
georgesimionoficial,În 30 de minute începe evenimentul de la Roma: câteva clarificări!,Se poate repara ce sa distrus dar în mulți ani de zile (10).,sistem,neutru,negativ,frustrat,economie,none,
georgesimionoficial,"Respect pentru muncă! În dialog cu poporul român, zi de zi!",George să nu uiți niciodată orice zi sa o incepi cu Dumnezeu și noi te susținem in rugăciune dar e nevoie ca și tu zilnic sa ai o relație cu Dumnezeu prin rugăciune Dumnezeu să te ajute in tot ce faci și să-ți dea înțelepciune in fata hienilor sa fii cel mai înțelept răspunsuri pe măsură 🙏🙏🙏,suveranisti,pro_suveranist,pozitiv,patriotic,leadership_politic,none,
otvdirect,"SORIN CONSTANTINESCU, STEFAN JICOL||DAN DIACONESCU DIRECT",nu poti scoate propaganda dintr-un cap neted... nea Pacanel e nivelat de propaganda... patineaza musca pe creierul lui. zero circumvolutiuni.,jurnalisti,neutru,negativ,agresiv,propaganda,sarcasm,
StareaNatiei,"De ce ajungem să dăm vina pe oricine, mai puțin pe adevărații responsabili? | Starea Nației 19.03.26",Aici doar pentru un comentariu ca emisiunea am vazut-o la tv :),jurnalisti,neutru,pozitiv,emotional,jurnalism,none,
RecorderRomania,EXPLICATIV RECORDER. Cum s-au repliat liderii sistemului după documentarul „Justiție capturată”,"Domnule Nicusor Oameni nu sunt proști, văd adevărul tu nu-l vezi ?. bravo Recorder ! Adevărul mai presus de corupție",jurnalisti,neutru,pozitiv,admirativ,jurnalism,none,
